id	label	source	length	original_header
NEG_AMPLIFY_teNEGATIVE0001	0	AMPLIFY	47	teNEGATIVE0001
NEG_AMPLIFY_teNEGATIVE0002	0	AMPLIFY	29	teNEGATIVE0002
NEG_AMPLIFY_teNEGATIVE0003	0	AMPLIFY	31	teNEGATIVE0003
NEG_AMPLIFY_teNEGATIVE0004	0	AMPLIFY	46	teNEGATIVE0004
NEG_AMPLIFY_teNEGATIVE0005	0	AMPLIFY	32	teNEGATIVE0005
NEG_AMPLIFY_teNEGATIVE0006	0	AMPLIFY	8	teNEGATIVE0006
NEG_AMPLIFY_teNEGATIVE0007	0	AMPLIFY	20	teNEGATIVE0007
NEG_AMPLIFY_teNEGATIVE0008	0	AMPLIFY	21	teNEGATIVE0008
NEG_AMPLIFY_teNEGATIVE0009	0	AMPLIFY	13	teNEGATIVE0009
NEG_AMPLIFY_teNEGATIVE0010	0	AMPLIFY	12	teNEGATIVE0010
NEG_AMPLIFY_teNEGATIVE0011	0	AMPLIFY	22	teNEGATIVE0011
NEG_AMPLIFY_teNEGATIVE0012	0	AMPLIFY	31	teNEGATIVE0012
NEG_AMPLIFY_teNEGATIVE0013	0	AMPLIFY	30	teNEGATIVE0013
NEG_AMPLIFY_teNEGATIVE0014	0	AMPLIFY	46	teNEGATIVE0014
NEG_AMPLIFY_teNEGATIVE0015	0	AMPLIFY	76	teNEGATIVE0015
NEG_AMPLIFY_teNEGATIVE0016	0	AMPLIFY	53	teNEGATIVE0016
NEG_AMPLIFY_teNEGATIVE0017	0	AMPLIFY	11	teNEGATIVE0017
NEG_AMPLIFY_teNEGATIVE0018	0	AMPLIFY	28	teNEGATIVE0018
NEG_AMPLIFY_teNEGATIVE0019	0	AMPLIFY	20	teNEGATIVE0019
NEG_AMPLIFY_teNEGATIVE0020	0	AMPLIFY	27	teNEGATIVE0020
NEG_AMPLIFY_teNEGATIVE0021	0	AMPLIFY	13	teNEGATIVE0021
NEG_AMPLIFY_teNEGATIVE0022	0	AMPLIFY	29	teNEGATIVE0022
NEG_AMPLIFY_teNEGATIVE0023	0	AMPLIFY	63	teNEGATIVE0023
NEG_AMPLIFY_teNEGATIVE0024	0	AMPLIFY	40	teNEGATIVE0024
