rep	fold	n	n_pos	n_neg	stratum
NEG_AMPLIFY_teNEGATIVE0001	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0004	val	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0006	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0007	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0008	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0009	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0010	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0011	val	4	0	4	neg_only
NEG_AMPLIFY_teNEGATIVE0013	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0017	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0019	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0021	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0023	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0024	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0025	train	6	0	6	neg_only
NEG_AMPLIFY_teNEGATIVE0026	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0027	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0030	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0032	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0037	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0038	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0039	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0041	train	3	0	3	neg_only
NEG_AMPLIFY_teNEGATIVE0043	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0044	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0045	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0049	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0051	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0053	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0058	train	3	0	3	neg_only
NEG_AMPLIFY_teNEGATIVE0059	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0060	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0062	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0064	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0065	train	5	0	5	neg_only
NEG_AMPLIFY_teNEGATIVE0067	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0068	train	2	0	2	neg_only
